,codigo,cobacia,cocursodag,q95,XGBRFRegressor_intervalo_i,XGBRFRegressor_intervalo_f,XGBRFRegressor_qtde_dados,XGBRFRegressor_desvio_padrao,XGBRFRegressor_media,XGBRFRegressor_media_lower_bound,XGBRFRegressor_media_upper_bound,XGBRFRegressor_mediana,XGBRFRegressor_mediana_lower_bound,XGBRFRegressor_mediana_upper_bound,XGBRFRegressor_moda,XGBRFRegressor_dentro_intervalo
"(42490000,)","(42490000,)",76847333,7684,14.6056,0.9611932158470154,150.42626342773437,193,38.401432037353516,44.66985,39.55220079421997,50.04752807617187,34.34996032714844,30.557077789306643,38.033775329589844,0.7810844,1
"(42540000,)","(42540000,)",7684717,7684,16.5676,1.4758892059326172,145.1807098388672,201,35.70207595825195,47.66365,42.718346214294435,52.40077142715454,38.15867233276367,36.208072662353516,42.691837310791016,0.81730705,1
"(42545002,)","(42545002,)",7684653,76846,0.9202,0.6678266301751137,47.662458229064924,184,13.764485359191895,9.421339,7.409718906879425,11.39856743812561,1.2131534814834595,1.0670969486236572,1.9873673737049102,0.59126055,1
"(42545500,)","(42545500,)",76846111,76846,1.0102,0.6478548780083656,46.122341537475556,188,13.15084457397461,9.992944,8.300704622268677,11.76921875476837,2.0932819843292236,1.099104404449463,4.213611602783203,0.49491274,1
"(42546000,)","(42546000,)",7684473,76844,1.1114,0.686150424182415,47.84194173812866,184,13.76750659942627,10.04804,8.02133400440216,12.173001933097838,2.0569944381713867,1.2951739370822906,3.3193649590015393,0.64384544,1
"(42600000,)","(42600000,)",7684319,7684,19.0626,4.77606933116913,169.25335502624512,208,53.32170104980469,59.74682,53.03443851470947,67.07837047576903,43.34751510620117,40.3948691368103,48.73948669433594,0.77560496,1
"(42690001,)","(42690001,)",7683771,768,48.2795,29.142259931564332,422.4147911071778,210,119.30367279052734,143.14914,127.73757209777833,160.72397994995117,107.50304412841797,89.21308135986328,127.90648651123047,26.183365,1
"(42750000,)","(42750000,)",76833,768,60.9434,26.46861352920532,351.1682861328117,194,112.37053680419922,148.02605,132.49552383422852,163.93656463623046,115.08561706542969,100.08987083435059,139.06756591796875,11.8717165,1
"(42840000,)","(42840000,)",76829935,7682,0.8080000000000002,0.5626533508300782,42.11249465942382,193,12.515256881713867,8.650817,6.866483819484711,10.434404373168945,1.2115164995193481,0.9234139919281006,3.01668119430542,0.46293616,1
"(42850000,)","(42850000,)",7682353,7682,4.8713,0.5332848370075226,94.27322006225582,202,25.940929412841797,21.186913,17.865136051177977,24.817103338241576,16.86313247680664,7.920365238189698,20.082395553588864,0.45083028,1
"(42860000,)","(42860000,)",768215,7682,6.2164,0.5318768441677093,68.32660579681398,180,23.846364974975586,23.10547,19.96852970123291,26.741083812713622,23.266483306884766,14.406192779541016,26.930679273605342,0.3678705,1
"(42980000,)","(42980000,)",768173,768,72.7823,35.66958713531494,674.7991027832031,191,148.835205078125,197.09514,176.76030883789062,220.17221832275388,178.63226318359375,138.35093688964844,202.61460876464844,17.200945,1
"(43200000,)","(43200000,)",76795,76,417.366,238.52159805297853,718.4795288085937,210,136.87918090820312,443.89426,425.3521141052246,462.4303466796875,441.5726013183594,431.4643249511719,449.91217041015625,92.07768,1
"(43250002,)","(43250002,)",76789191,7678,3.9026,0.8426702857017517,131.16828002929685,193,35.263275146484375,38.41919,33.74218101501465,43.67032079696655,29.35024070739746,25.44597625732422,32.5914421081543,0.7185718,1
"(43300000,)","(43300000,)",7678817,76788,5.661469999999989,0.8505772694945335,52.88286514282225,204,16.503543853759766,15.837201,13.6317138671875,18.10769758224487,10.673861503601074,4.012145519256592,17.31293115615845,0.76061666,1
"(43429998,)","(43429998,)",7678537,7678,14.256,1.1805265426635743,262.9176544189447,203,65.61981964111328,65.821205,57.072707176208496,75.44003810882568,47.45611572265625,43.81351118087768,51.40739059448242,0.84194833,1
"(43670000,)","(43670000,)",76783311,7678,21.952,2.589569836854935,268.61874084472663,200,78.46250915527344,80.083435,69.70597991943359,90.6438325881958,51.766876220703125,47.27443313598633,59.302650451660156,0.8318464,1
"(43675000,)","(43675000,)",7678235,76782,2.2008,0.552005735039711,55.61219816207882,208,18.267568588256836,16.30319,13.79615123271942,18.7286114692688,5.569444179534912,2.932603359222412,14.465848922729492,0.3610956,1
"(43880000,)","(43880000,)",76781573,7678,26.507345,21.59361686706544,410.520544433592,193,114.94718933105469,114.40739,97.6585536956787,131.0167552947998,68.36827087402344,59.42491149902344,87.0530776977539,0.8848543,1
"(43980002,)","(43980002,)",7678139,7678,19.7051,18.47780418395996,315.49459075927734,211,104.95132446289062,124.95392,110.96537189483642,139.7497417449951,85.94776153564453,74.06204986572266,101.3545913696289,10.001424,1
"(44200000,)","(44200000,)",767557,76,480.486,274.2034599304199,724.9583541870117,204,125.36383819580078,492.74448,475.77172698974607,510.31135177612305,479.7922668457031,460.44921875,502.79156799316405,166.43822,1
"(44250000,)","(44250000,)",767231,7672,6.8993,0.6319936379790306,62.64872579574584,188,21.404422760009766,18.607077,15.544007802009583,21.61443963050842,5.628401756286621,2.3327715396881104,16.537479543685905,0.43811703,1
"(44290002,)","(44290002,)",7671751,76,539.255,260.1497634887695,739.9579345703125,195,125.98248291015625,510.1355,492.7483451843262,527.0615509033203,504.551025390625,478.9126281738281,526.4671630859375,186.80814,1
"(44500000,)","(44500000,)",7671113,76,499.1056,267.504931640625,751.491519165039,207,125.22282409667969,519.42065,502.58137435913085,536.1443923950195,532.8065795898438,490.96966552734375,549.73681640625,185.99164,1
"(44540000,)","(44540000,)",7658713,7658,0.9242,0.6367504835128784,58.80731449127196,187,18.605085372924805,13.419426,10.792313742637635,16.11864080429077,2.544459104537964,1.933748722076416,3.8657655715942383,0.5562518,1
"(44630000,)","(44630000,)",7669391,766,0.2635,0.6075752377510071,61.219239234924316,196,20.20817756652832,15.756327,13.15248999595642,18.78570351600647,3.7930972576141357,2.316362988948822,6.541550159454346,0.49242002,0
"(44670000,)","(44670000,)",766519,766,0.0224,0.6508592903614044,210.8328781127929,207,61.886226654052734,59.20556,50.906355476379396,68.01692924499511,44.55257034301758,36.02458190917969,51.022605895996094,0.53284854,0
"(44950000,)","(44950000,)",766191,766,0.0,1.819651627540589,448.7890167236329,195,116.0882797241211,134.18565,117.66239624023437,151.0525997161865,102.93517303466797,94.97555541992188,115.74354553222656,0.613509,0
"(45131000,)","(45131000,)",765641311,76564,29.2342,0.6602214008569718,137.2805515289306,224,34.953773498535156,34.1265,29.79523859024048,38.66175098419189,27.327312469482422,23.357128143310547,31.61730194091797,0.5480742,1
"(45170001,)","(45170001,)",7656571,7656,35.2917,0.5987947046756744,94.4428298950195,199,28.88184928894043,28.737736,25.075481700897218,32.857616329193114,21.372303009033203,13.647371292114258,31.620073318481445,0.5480742,1
"(45210000,)","(45210000,)",7656393,7656,60.6356,0.7082090675830841,255.00698852539062,216,62.937442779541016,48.704247,41.16629467010498,57.64925088882446,36.36912536621094,32.01897048950195,43.92530059814453,0.5735419,1
"(45220000,)","(45220000,)",765623371,76562,3.8259,0.6337203860282898,62.411814498901364,208,21.261234283447266,16.711184,13.748729681968689,19.6512122631073,2.4915785789489746,1.6716680526733398,5.377844464778893,0.47756815,1
"(45260000,)","(45260000,)",7656193,7656,64.84307000000018,0.6489864021539689,229.3700611114502,180,53.89302444458008,55.83969,48.685068893432614,63.75240993499756,50.51251220703125,46.737289142608645,52.98542785644531,0.43811703,1
"(45298000,)","(45298000,)",765593,76,592.418,324.05737915039066,782.8586883544922,223,108.2557601928711,569.08075,554.912257385254,584.150358581543,560.6298217773438,555.3570556640625,572.0921630859375,203.55643,1
"(45480000,)","(45480000,)",765131,76,521.196,418.7962097167969,788.0486938476563,225,103.15911865234375,608.59735,595.120068359375,622.3627685546875,598.0169067382812,585.8864135742188,623.106088256836,310.56464,1
"(45590000,)","(45590000,)",76461117,7646,21.0648,0.6050441935658455,64.47457551956158,194,21.296337127685547,20.451803,17.56411681175232,23.56392192840576,11.032929420471191,5.307948255538941,23.730716705322266,0.5480742,1
"(45740001,)","(45740001,)",764711,764,19.308,0.6890547275543213,268.99534606933594,221,68.48070526123047,55.896103,47.3300537109375,64.99684467315674,43.52395248413086,36.22499084472656,47.290977478027344,0.5383825,1
"(45770000,)","(45770000,)",76441333,7644,30.2317,0.8070598602294922,154.5324234008789,207,41.625892639160156,51.159515,45.48117609024048,57.07928552627563,37.2562141418457,32.69232177734375,43.10597229003906,0.63333976,1
"(45840000,)","(45840000,)",7642331,7642,38.6483,0.6762269973754883,96.65921936035149,189,28.649311065673828,30.047173,26.205157470703124,34.35045766830444,27.37327003479004,23.02240562438965,31.261287689208984,0.45141125,1
"(45880000,)","(45880000,)",76421513,7642,37.4758,0.741958498954773,104.30711517333982,209,44.27204513549805,39.44288,33.18458595275879,45.840567684173585,32.67293930053711,27.29261589050293,41.32431411743164,0.6212278,1
"(45910001,)","(45910001,)",764199,764,116.727,2.234158885478974,490.7696502685549,195,123.96297454833984,122.67281,106.85918674468994,141.15882263183593,76.72837829589844,62.5509147644043,88.25843048095703,0.67376745,1
"(45960001,)","(45960001,)",7641511,764,100.569,1.5189743638038635,425.8626251220703,211,116.44766998291016,117.55075,103.06582794189453,135.26268653869627,83.75704956054688,67.68196105957031,94.89356231689453,0.6981632,1
"(46035000,)","(46035000,)",763935,76,651.657800000002,462.7045211791992,795.4559707641602,196,101.35276794433594,624.94183,610.3164855957032,638.1797348022461,612.5675048828125,589.0073944091797,633.3836288452148,262.1434,1
"(46105000,)","(46105000,)",7637,76,653.749,427.5387481689453,793.2990173339844,173,107.0363998413086,614.656,599.7583267211915,630.1687042236329,605.9344482421875,581.0655517578125,631.1047973632812,262.1434,1
"(46150000,)","(46150000,)",763379,76,674.9713000000012,441.3519287109375,785.8081359863281,221,95.2821273803711,635.12445,621.7732727050782,647.3048110961914,642.7426147460938,604.6618041992188,672.5595092773438,329.43234,1
"(46360000,)","(46360000,)",763193,76,649.721,499.1830108642578,802.3782928466798,190,92.82261657714844,663.5288,650.7378326416016,677.3811325073242,685.48779296875,631.4403076171875,710.1296279907226,454.2832,1
