,index,q95,rodada,y_pred_XGBRegressor
20,0,2.601039999999997,1760,1.8010442
21,123,22.3438,1760,25.402142
22,49,0.5381,1760,0.387547
23,7,44.5338,1760,35.00273
24,109,21.0648,1760,10.024014
25,54,8.7703,1760,8.812105
26,16,4.3194,1760,4.1003833
27,90,21.952,1760,28.383585
28,85,72.7823,1760,58.65093
29,68,14.04103499999995,1760,26.961079
0,103,35.2917,1761,20.127005
1,127,92.2362,1761,89.8353
2,69,9.8188,1761,5.792446
3,33,4.3,1761,3.0888317
4,131,65.8824,1761,40.043175
5,3,1.143840000000003,1761,1.900276
6,138,819.714,1761,753.46326
7,70,24.3336,1761,33.70266
8,102,29.2342,1761,26.808132
9,109,21.0648,1761,10.756599
10,110,19.308,1761,29.896349
11,14,3.1201,1761,5.7696676
12,19,1.9377,1761,2.3110647
13,66,0.5634,1761,1.1920673
14,141,806.112,1761,752.0291
15,49,0.5381,1761,0.85530144
16,43,1.3317,1761,0.96357065
17,140,0.0,1761,0.0955356
18,35,267.5,1761,161.36272
19,100,0.0224,1761,-0.20505486
20,51,27.9617,1761,25.76222
21,82,0.8080000000000002,1761,-0.015804283
22,121,25.9419,1761,36.752636
23,60,0.265,1761,0.5082745
24,112,38.6483,1761,38.784855
25,75,16.5676,1761,17.120884
26,1,7.1585,1761,4.9449205
27,73,14.8822,1761,6.559781
28,148,804.869,1761,746.0355
29,74,14.6056,1761,17.307741
0,53,0.0535,1762,0.7606412
1,14,3.1201,1762,4.7918296
2,75,16.5676,1762,14.866575
3,84,6.2164,1762,18.943405
4,40,0.8705000000000002,1762,2.6179087
5,33,4.3,1762,6.239079
6,58,49.4681,1762,31.255178
7,66,0.5634,1762,1.0828513
8,112,38.6483,1762,32.07134
9,26,0.0785,1762,0.62302005
10,28,0.1309,1762,0.2903027
11,1,7.1585,1762,4.4769397
12,111,30.2317,1762,30.181211
13,21,1.91,1762,2.9635034
14,73,14.8822,1762,3.6544778
15,146,781.017,1762,796.3308
16,117,653.749,1762,653.26654
17,148,804.869,1762,721.14417
18,108,521.196,1762,592.4294
19,92,26.507345,1762,22.246603
20,114,116.727,1762,62.846416
21,82,0.8080000000000002,1762,0.62212414
22,137,893.539,1762,738.9125
23,98,0.9242,1762,2.6269596
24,23,16.2733,1762,16.464157
25,17,0.7619,1762,1.8473426
26,56,1.0565,1762,0.71115416
27,88,5.661469999999989,1762,4.6675878
28,39,1.46,1762,2.6179087
29,125,4.1632,1762,13.272734
0,61,1.4438,1763,3.3182054
1,106,64.84307000000018,1763,58.79999
2,42,11.5124,1763,4.4896555
3,79,19.0626,1763,26.330824
4,48,26.3377,1763,26.883337
5,82,0.8080000000000002,1763,1.1396937
6,18,0.4606,1763,0.8870319
7,148,804.869,1763,749.2142
8,122,1.7296,1763,1.5367205
9,63,351.6975,1763,232.92015
10,121,25.9419,1763,22.654922
11,1,7.1585,1763,4.5684137
12,74,14.6056,1763,16.529373
13,90,21.952,1763,21.941698
14,114,116.727,1763,51.687473
15,92,26.507345,1763,21.25587
16,78,1.1114,1763,1.4547275
17,143,0.0,1763,0.27445528
18,115,100.569,1763,59.974213
19,120,12.7955,1763,13.753445
20,44,18.8523,1763,15.789242
21,11,2.2915,1763,3.765956
22,17,0.7619,1763,0.50920516
23,30,25.3048,1763,30.29313
24,23,16.2733,1763,18.267124
25,9,50.0127,1763,41.43921
26,73,14.8822,1763,6.4495044
27,118,674.9713000000012,1763,651.3856
28,15,20.7338,1763,29.385124
29,47,0.98,1763,2.3114197
0,78,1.1114,1764,0.87860817
1,19,1.9377,1764,3.8335912
2,6,4.138,1764,1.2152314
3,146,781.017,1764,823.4507
4,2,4.9898,1764,2.397552
5,16,4.3194,1764,3.7544856
6,140,0.0,1764,-0.52841204
7,4,30.2281,1764,31.864916
8,79,19.0626,1764,21.883266
9,28,0.1309,1764,0.24661832
10,10,7.8011,1764,10.179365
11,84,6.2164,1764,16.106182
12,39,1.46,1764,2.024449
13,129,91.2264,1764,89.74311
14,40,0.8705000000000002,1764,2.024449
15,59,0.9925,1764,0.5004385
16,24,19.7695,1764,21.690607
17,81,60.9434,1764,73.91443
18,46,21.8598,1764,20.347797
19,147,0.0,1764,-0.075907536
20,101,0.0,1764,50.55133
21,7,44.5338,1764,37.023727
22,0,2.601039999999997,1764,5.2098527
23,36,2.8698,1764,0.89023197
24,60,0.265,1764,-0.6993489
25,33,4.3,1764,4.6829515
26,13,0.6751,1764,1.0407956
27,21,1.91,1764,2.5732229
28,52,30.8772,1764,25.008121
29,114,116.727,1764,62.523125
0,149,749.272,1765,804.86816
1,143,0.0,1765,0.028384896
2,3,1.143840000000003,1765,2.3591347
3,134,0.0,1765,1.8774934
4,19,1.9377,1765,2.634337
5,110,19.308,1765,28.843086
6,28,0.1309,1765,0.20874633
7,55,41.95629000000001,1765,39.757477
8,76,0.9202,1765,1.1015875
9,8,1.06597,1765,4.064443
10,67,3.9056,1765,2.316725
11,18,0.4606,1765,1.161173
12,128,90.0729,1765,90.8556
13,17,0.7619,1765,2.4259348
14,95,6.8993,1765,14.616858
15,99,0.2635,1765,-1.1045915
16,47,0.98,1765,2.5171573
17,102,29.2342,1765,16.125347
18,39,1.46,1765,0.8726394
19,45,1.523,1765,3.7335267
20,66,0.5634,1765,0.5978369
21,53,0.0535,1765,2.0407102
22,50,1.4889,1765,1.6769245
23,4,30.2281,1765,36.19675
24,146,781.017,1765,824.3865
25,68,14.04103499999995,1765,17.139452
26,109,21.0648,1765,11.6617775
27,22,12.6221,1765,6.3064156
28,90,21.952,1765,24.760714
29,117,653.749,1765,665.3606
0,128,90.0729,1766,91.92099
1,65,4.2191,1766,4.2060547
2,107,592.418,1766,500.513
3,74,14.6056,1766,18.046562
4,143,0.0,1766,0.01528914
5,34,1.8049,1766,3.2123666
6,30,25.3048,1766,31.274105
7,1,7.1585,1766,3.951583
8,121,25.9419,1766,32.157326
9,142,0.0,1766,1.0994539
10,78,1.1114,1766,1.4401965
11,93,19.7051,1766,38.66133
12,92,26.507345,1766,38.68623
13,33,4.3,1766,6.8091416
14,42,11.5124,1766,3.193719
15,125,4.1632,1766,17.95621
16,53,0.0535,1766,0.37402982
17,81,60.9434,1766,58.6876
18,35,267.5,1766,155.98431
19,18,0.4606,1766,0.94156545
20,146,781.017,1766,814.6026
21,75,16.5676,1766,18.465424
22,64,1.3146,1766,1.3690696
23,54,8.7703,1766,9.00038
24,32,4.744,1766,3.799409
25,71,1.5634,1766,1.9120268
26,115,100.569,1766,94.91702
27,79,19.0626,1766,20.438597
28,116,651.657800000002,1766,521.05585
29,57,0.3474,1766,2.0908725
0,128,90.0729,1767,90.87047
1,49,0.5381,1767,0.8365587
2,45,1.523,1767,4.497796
3,102,29.2342,1767,10.956352
4,55,41.95629000000001,1767,38.889145
5,65,4.2191,1767,4.957508
6,44,18.8523,1767,19.18413
7,141,806.112,1767,754.1143
8,101,0.0,1767,49.210575
9,135,0.0813,1767,-0.3122753
10,5,0.4344,1767,1.191281
11,32,4.744,1767,5.390502
12,37,9.669585,1767,15.684312
13,114,116.727,1767,61.901184
14,140,0.0,1767,-0.5175798
15,30,25.3048,1767,22.357035
16,93,19.7051,1767,33.777424
17,76,0.9202,1767,0.8011061
18,119,649.721,1767,674.14233
19,31,2.27,1767,3.4989405
20,14,3.1201,1767,7.11421
21,63,351.6975,1767,234.53049
22,68,14.04103499999995,1767,18.329323
23,10,7.8011,1767,7.8804927
24,74,14.6056,1767,21.350922
25,90,21.952,1767,27.333044
26,89,14.256,1767,25.704695
27,122,1.7296,1767,2.091089
28,132,63.9294,1767,57.22811
29,103,35.2917,1767,14.676148
0,143,0.0,1768,-0.070191585
1,126,26.5578,1768,23.438625
2,146,781.017,1768,807.631
3,8,1.06597,1768,3.3235106
4,23,16.2733,1768,19.758877
5,73,14.8822,1768,6.803915
6,82,0.8080000000000002,1768,2.0261407
7,60,0.265,1768,0.026263917
8,113,37.4758,1768,29.93198
9,105,3.8259,1768,0.28110808
10,49,0.5381,1768,1.4111431
11,119,649.721,1768,674.97864
12,41,3.4419,1768,3.1481702
13,92,26.507345,1768,20.596643
14,32,4.744,1768,7.7112403
15,112,38.6483,1768,28.181929
16,116,651.657800000002,1768,523.7064
17,5,0.4344,1768,1.3129619
18,104,60.6356,1768,39.907627
19,31,2.27,1768,5.8026285
20,138,819.714,1768,805.9001
21,62,0.9316,1768,2.6524253
22,145,710.2378499999994,1768,790.67096
23,98,0.9242,1768,1.9151535
24,148,804.869,1768,800.2478
25,100,0.0224,1768,2.0042853
26,85,72.7823,1768,61.18635
27,56,1.0565,1768,0.5201421
28,67,3.9056,1768,2.6263635
29,109,21.0648,1768,7.47652
0,124,44.9176,1769,50.551838
1,50,1.4889,1769,1.32583
2,58,49.4681,1769,37.743248
3,44,18.8523,1769,18.818285
4,46,21.8598,1769,17.327421
5,133,155.102,1769,91.34446
6,149,749.272,1769,804.84705
7,43,1.3317,1769,2.2762067
8,34,1.8049,1769,0.37811443
9,97,499.1056,1769,542.2824
10,26,0.0785,1769,0.20021981
11,66,0.5634,1769,0.42680585
12,77,1.0102,1769,1.1426189
13,141,806.112,1769,743.9068
14,32,4.744,1769,4.800846
15,18,0.4606,1769,0.18607527
16,13,0.6751,1769,0.84932244
17,45,1.523,1769,1.601761
18,78,1.1114,1769,0.97846335
19,65,4.2191,1769,2.9820411
20,30,25.3048,1769,26.944769
21,51,27.9617,1769,27.176893
22,136,0.1093,1769,0.597476
23,105,3.8259,1769,0.897252
24,84,6.2164,1769,23.933842
25,108,521.196,1769,592.2801
26,25,0.036,1769,0.2065328
27,122,1.7296,1769,0.86425036
28,17,0.7619,1769,1.3483908
29,48,26.3377,1769,21.562601
0,84,6.2164,1770,14.967593
1,107,592.418,1770,484.5424
