,codigo,cobacia,cocursodag,q95,LinearRegression_intervalo_i,LinearRegression_intervalo_f,LinearRegression_qtde_dados,LinearRegression_desvio_padrao,LinearRegression_media,LinearRegression_media_lower_bound,LinearRegression_media_upper_bound,LinearRegression_mediana,LinearRegression_mediana_lower_bound,LinearRegression_mediana_upper_bound,LinearRegression_moda,LinearRegression_dentro_intervalo
"(43675000,)","(43675000,)",7678235,76782,2.2008,-3650257059516.714,39.34797871277097,208,4302491792055.7725,-21362184179.66038,-543909447611.1547,607737556967.1877,-8.959512959984757,-12.906897899798572,-3.2658810970854404,-19891812390431.69,1
"(43880000,)","(43880000,)",76781573,7678,26.507345,-15.619489134994952,581.9060298925987,193,650985990988.5629,-3042565088.1397524,-104697415937.29785,84483042130.03664,60.008273626889604,52.81938957450881,66.08338135304473,-6817887687054.626,1
"(43980002,)","(43980002,)",7678139,7678,19.7051,-6.516256774185525,1566930066537.813,211,3345988959067.12,446576746498.0326,64106080367.19874,953258685266.105,67.47451382526341,59.24531269841792,73.75191822907223,-855685793173.9386,1
"(44200000,)","(44200000,)",767557,76,480.486,276.2981192882822,1278.7805932004992,204,24982664027170.06,894896879599.0447,-1764077531841.2336,4807242133109.268,454.3945386306133,431.6639852718208,473.5504219882728,-126950167618711.27,1
"(44250000,)","(44250000,)",767231,7672,6.8993,-1436711229058.9558,59.190662034645484,188,3221205872422.7383,-74202062500.84238,-506728744772.7553,367279473348.6631,8.987855608626276,4.661031826742374,11.863266834276004,-16299610286158.709,1
"(44290002,)","(44290002,)",7671751,76,539.255,264.5747313105198,535078458476.3324,195,28975398200473.438,1320548102733.3875,-2284737283363.0845,5938366497438.066,490.4490523802449,461.20753866081157,519.4383075206142,-159959277315087.66,1
"(44500000,)","(44500000,)",7671113,76,499.1056,261.34434976769256,1110.385053562261,207,63706345582951.74,-1785119823737.727,-10485925170888.213,5884423467085.2705,489.94077887938636,470.4338931088714,517.1426250286814,-764848448369951.4,1
"(44540000,)","(44540000,)",7658713,7658,0.9242,-37.46606586818732,2671108886460.785,187,2080171706398.5022,319767055740.35785,56441199374.099976,649878389892.4114,9.204082852766476,5.331857137236227,11.748982711982876,-55.322611580554224,1
"(44630000,)","(44630000,)",7669391,766,0.2635,-10934666558.707281,59.785823920714826,196,5126337228226.981,403412472966.96936,-199120363136.0351,1212663557576.9893,2.9191370880419214,-0.6327286934869605,5.9739002707559195,-16260813023558.715,1
"(44670000,)","(44670000,)",766519,766,0.0224,-27.29415963341686,108.59990676675885,207,4766861545828.572,337836605659.84973,-261482942900.41895,1069583616504.0361,20.57400068356263,17.041280991418958,25.047922084281197,-29289117723724.184,1
"(44950000,)","(44950000,)",766191,766,0.0,-123834150467.9893,132.95985905261847,195,7324570601410.5,-550533843443.7852,-1734723421485.6724,270931210240.53067,36.03672360901775,29.35912810690452,42.245781122916824,-91050329799688.03,1
"(45131000,)","(45131000,)",765641311,76564,29.2342,-3265730146312.7764,88.38643469852774,224,2594974610296.877,-253915024518.98993,-617522134854.044,58953197502.79741,20.353802156479198,16.584188969514237,25.64850651045134,-18595071298383.086,1
"(45170001,)","(45170001,)",7656571,7656,35.2917,-32.79243617494326,86.06510367934953,199,1101952279069.6272,116485384187.07512,-11259444305.433243,288007003832.055,25.019799864213297,20.757115349269498,28.144557942221184,-1804690646448.7495,1
"(45210000,)","(45210000,)",7656393,7656,60.6356,-1282789286104.862,1741718749144.2593,216,10094425996209.84,281643727844.3393,-943432154102.2963,1736698907123.9438,32.79977888341064,27.21544994301116,39.67539321724143,-74492860540538.52,1
"(45220000,)","(45220000,)",765623371,76562,3.8259,-38.742271989668986,55.62790302292808,208,1600102281924.552,-94657024313.97589,-334191029668.2397,102273553074.16801,11.88674283608296,6.3766637029427145,14.947217619788866,-16227874986732.572,1
"(45260000,)","(45260000,)",7656193,7656,64.84307000000018,-19.944953615654878,146.80116628500892,180,1202902127019.2078,73738215700.53058,-79989573278.7363,254697526656.70822,38.17603876498603,33.94502357130243,41.45268623891431,-5575212244324.367,1
